metric,control,n,mean_difference,median_difference,difference_sd,mean_ci95_low,mean_ci95_high,median_ci95_low,median_ci95_high,cohen_dz,hedges_gz,positive_pairs,negative_pairs,ties,exact_sign_p
Cover,Random,20,0.152005200,0.137072500,0.098729975,0.111289509,0.194838546,0.086108000,0.193857000,1.539605373,1.474551625,20,0,0,0.000001907
Cover,Shifted fusion,20,0.171795900,0.171400000,0.104166106,0.129563070,0.217811960,0.087269000,0.219666500,1.649249513,1.579562914,20,0,0,0.000001907
Cover,VideoMAE-only,20,0.185288400,0.173938000,0.163802397,0.113159094,0.252959900,0.138397000,0.269516500,1.131170262,1.083374335,17,3,0,0.002576828
Cover,RAT+traj.,20,0.003870050,0.004241000,0.036238251,-0.011234306,0.019440622,-0.021385000,0.020418500,0.106794614,0.102282166,10,10,0,1.000000000
RawErr,Random,20,0.135989350,0.133849000,0.091696878,0.097701619,0.175708764,0.075215500,0.169545000,1.483031399,1.420368101,20,0,0,0.000001907
RawErr,Shifted fusion,20,0.152175200,0.149110000,0.096939305,0.111205690,0.193717021,0.077186000,0.191263500,1.569798747,1.503469222,20,0,0,0.000001907
RawErr,VideoMAE-only,20,0.167813700,0.151381500,0.144820940,0.106254214,0.228680481,0.126961000,0.236945000,1.158766816,1.109804838,18,2,0,0.000402451
RawErr,RAT+traj.,20,0.003429450,0.006489000,0.033956815,-0.010597387,0.018279014,-0.016176500,0.017760500,0.100994456,0.096727084,11,9,0,0.823802948
IncErr,Random,20,0.148558250,0.140733500,0.096283884,0.107976888,0.190241488,0.081088000,0.183901500,1.542919171,1.477725403,20,0,0,0.000001907
IncErr,Shifted fusion,20,0.164862000,0.166769500,0.101931094,0.121326142,0.208966366,0.085597500,0.207474500,1.617386749,1.549046464,20,0,0,0.000001907
IncErr,VideoMAE-only,20,0.179773900,0.168744000,0.153302349,0.113361283,0.243992867,0.136012000,0.257400500,1.172675441,1.123125775,18,2,0,0.000402451
IncErr,RAT+traj.,20,0.003675000,0.007243500,0.037039939,-0.011898684,0.019663712,-0.017890000,0.019054000,0.099217225,0.095024948,11,9,0,0.823802948
