video_id,metric,control,rat_value,control_value,difference
BalanceBeam_v_BalanceBeam_g01_c01,Cover,Random,0.210261000,0.103680000,0.106581000
BalanceBeam_v_BalanceBeam_g02_c01,Cover,Random,0.429827000,0.109173000,0.320654000
BalanceBeam_v_BalanceBeam_g03_c01,Cover,Random,0.441153000,0.104832000,0.336321000
BalanceBeam_v_BalanceBeam_g10_c03,Cover,Random,0.412908000,0.091449000,0.321459000
Basketball_v_Basketball_g01_c01,Cover,Random,0.157413000,0.094351000,0.063062000
Basketball_v_Basketball_g02_c01,Cover,Random,0.312542000,0.090758000,0.221784000
Basketball_v_Basketball_g03_c01,Cover,Random,0.337167000,0.111321000,0.225846000
Basketball_v_Basketball_g04_c01,Cover,Random,0.177698000,0.103710000,0.073988000
Biking_v_Biking_g01_c01,Cover,Random,0.295175000,0.104925000,0.190250000
Biking_v_Biking_g02_c01,Cover,Random,0.214874000,0.102847000,0.112027000
Biking_v_Biking_g03_c01,Cover,Random,0.295618000,0.098154000,0.197464000
Biking_v_Biking_g04_c01,Cover,Random,0.187960000,0.098538000,0.089422000
Diving_v_Diving_g01_c01,Cover,Random,0.183052000,0.100258000,0.082794000
Diving_v_Diving_g02_c01,Cover,Random,0.153481000,0.118280000,0.035201000
Diving_v_Diving_g03_c01,Cover,Random,0.132463000,0.107909000,0.024554000
Diving_v_Diving_g04_c01,Cover,Random,0.204834000,0.104816000,0.100018000
WalkingWithDog_v_WalkingWithDog_g01_c01,Cover,Random,0.284778000,0.104829000,0.179949000
WalkingWithDog_v_WalkingWithDog_g02_c01,Cover,Random,0.281168000,0.097368000,0.183800000
WalkingWithDog_v_WalkingWithDog_g03_c01,Cover,Random,0.126313000,0.113501000,0.012812000
WalkingWithDog_v_WalkingWithDog_g04_c01,Cover,Random,0.261167000,0.099049000,0.162118000
BalanceBeam_v_BalanceBeam_g01_c01,Cover,Shifted fusion,0.210261000,0.096740000,0.113521000
BalanceBeam_v_BalanceBeam_g02_c01,Cover,Shifted fusion,0.429827000,0.054497000,0.375330000
BalanceBeam_v_BalanceBeam_g03_c01,Cover,Shifted fusion,0.441153000,0.067040000,0.374113000
BalanceBeam_v_BalanceBeam_g10_c03,Cover,Shifted fusion,0.412908000,0.117077000,0.295831000
Basketball_v_Basketball_g01_c01,Cover,Shifted fusion,0.157413000,0.067176000,0.090237000
Basketball_v_Basketball_g02_c01,Cover,Shifted fusion,0.312542000,0.061076000,0.251466000
Basketball_v_Basketball_g03_c01,Cover,Shifted fusion,0.337167000,0.124063000,0.213104000
Basketball_v_Basketball_g04_c01,Cover,Shifted fusion,0.177698000,0.154081000,0.023617000
Biking_v_Biking_g01_c01,Cover,Shifted fusion,0.295175000,0.091035000,0.204140000
Biking_v_Biking_g02_c01,Cover,Shifted fusion,0.214874000,0.134394000,0.080480000
Biking_v_Biking_g03_c01,Cover,Shifted fusion,0.295618000,0.078010000,0.217608000
Biking_v_Biking_g04_c01,Cover,Shifted fusion,0.187960000,0.103659000,0.084301000
Diving_v_Diving_g01_c01,Cover,Shifted fusion,0.183052000,0.057369000,0.125683000
Diving_v_Diving_g02_c01,Cover,Shifted fusion,0.153481000,0.081869000,0.071612000
Diving_v_Diving_g03_c01,Cover,Shifted fusion,0.132463000,0.079956000,0.052507000
Diving_v_Diving_g04_c01,Cover,Shifted fusion,0.204834000,0.056165000,0.148669000
WalkingWithDog_v_WalkingWithDog_g01_c01,Cover,Shifted fusion,0.284778000,0.040320000,0.244458000
WalkingWithDog_v_WalkingWithDog_g02_c01,Cover,Shifted fusion,0.281168000,0.059443000,0.221725000
