video_id,class,path,sha256,frames,fps,width,height,source_zip_url,source_zip_entry
v_BalanceBeam_g10_c03,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g10_c03.avi,b6ab93760a13438af3349e15af806d5718d72b3d6399add9441d7b1304603a01,105,25.000000,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/BalanceBeam/v_BalanceBeam_g10_c03.avi
v_BalanceBeam_g01_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,3d8d717ffa995294bed828703b4e3af29d7a6012dbf7e11537888f0ddb0bcecd,125,25.000000,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi
v_BalanceBeam_g02_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,7f51c308c13b39c60dc6dbd255a747bd567f0beecb330230d474400a7ce72c87,82,25.000000,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi
v_BalanceBeam_g03_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi,7990c5d66e4bce52ee1ba75a00b21140b32401c9d21c13dba37e5f9cc92ec4c2,197,25.000000,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi
v_Basketball_g01_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g01_c01.avi,46287910aff38795ad3a648a6ca503990fc8ab9549894145a9c1633356a4c360,141,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Basketball/v_Basketball_g01_c01.avi
v_Basketball_g02_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g02_c01.avi,83c1429d6ecdb5f9e36e8ed47e916d1b20c7fdfcda1f4abad573187a53ed4d64,53,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Basketball/v_Basketball_g02_c01.avi
v_Basketball_g03_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g03_c01.avi,1e84ce4ef69feb4a6297ff9853a8084a400e468f16570bc0e49dd01d652a5205,138,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Basketball/v_Basketball_g03_c01.avi
v_Basketball_g04_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g04_c01.avi,10a352af906ad03d77edd26b0174a634e091a92196c411b49873e0f26c70bb63,109,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Basketball/v_Basketball_g04_c01.avi
v_Biking_g01_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g01_c01.avi,68b3cfd535ed451dcf66b653b81da1551a539e71deafd34bc4392d10cce79714,151,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Biking/v_Biking_g01_c01.avi
v_Biking_g02_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g02_c01.avi,588face90f22df87147a2bf160b4a5ec6a033980a7c1a7286fe9de2a2be6b98a,240,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Biking/v_Biking_g02_c01.avi
v_Biking_g03_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g03_c01.avi,f99d73b3c3cf6bdb58d39a2ed81007a26d9ad492a6f22fa441cf68d0f54d87dc,380,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Biking/v_Biking_g03_c01.avi
v_Biking_g04_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g04_c01.avi,0bfa08b9a62051cf9616189a292fa915c21d28050f172ac0ddbf5a02a2eb0bff,240,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Biking/v_Biking_g04_c01.avi
v_Diving_g01_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g01_c01.avi,e0acf2fd072168acaca9d893b1d75e38886195cd737735544f4d1ad78b2fbfcc,259,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Diving/v_Diving_g01_c01.avi
v_Diving_g02_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g02_c01.avi,e4cc4916f6a470fdba4c5ed46a11762fb8799ccfbba62f86686b3bf3ba34ceaa,134,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Diving/v_Diving_g02_c01.avi
v_Diving_g03_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g03_c01.avi,e375ecd8e5ed1e51da4a7354bba3b5925645db19b3df5aadd231f6dac90f0a51,192,29.970030,320,240,https://huggingface.co/datasets/quchenyuan/UCF101-ZIP/resolve/main/UCF-101.zip?download=true,UCF-101/Diving/v_Diving_g03_c01.avi
