video_id,class,input_video,frames,method,seed,epsilon,delta,rat_sigma,dprp_k,output_dir,command
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,125,RAT-DP,42,8.0,0.0001,127.3874168932,64,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp,
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,82,RAT-DP,42,8.0,0.0001,103.1759439631,64,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp,
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi,197,RAT-DP,42,8.0,0.0001,159.9206837054,64,data/backend_inputs/BalanceBeam_v_BalanceBeam_g03_c01/seed_42/rat_dp,
BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g10_c03.avi,105,RAT-DP,42,8.0,0.0001,116.7524960996,64,data/backend_inputs/BalanceBeam_v_BalanceBeam_g10_c03/seed_42/rat_dp,
Basketball_v_Basketball_g01_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g01_c01.avi,141,RAT-DP,42,8.0,0.0001,135.2947925551,64,data/backend_inputs/Basketball_v_Basketball_g01_c01/seed_42/rat_dp,
Basketball_v_Basketball_g02_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g02_c01.avi,53,RAT-DP,42,8.0,0.0001,82.9486762322,64,data/backend_inputs/Basketball_v_Basketball_g02_c01/seed_42/rat_dp,
Basketball_v_Basketball_g03_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g03_c01.avi,138,RAT-DP,42,8.0,0.0001,133.8477478217,64,data/backend_inputs/Basketball_v_Basketball_g03_c01/seed_42/rat_dp,
Basketball_v_Basketball_g04_c01,Basketball,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g04_c01.avi,109,RAT-DP,42,8.0,0.0001,118.9555676416,64,data/backend_inputs/Basketball_v_Basketball_g04_c01/seed_42/rat_dp,
Biking_v_Biking_g01_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g01_c01.avi,151,RAT-DP,42,8.0,0.0001,140.0103039463,64,data/backend_inputs/Biking_v_Biking_g01_c01/seed_42/rat_dp,
Biking_v_Biking_g02_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g02_c01.avi,240,RAT-DP,42,8.0,0.0001,176.5131826432,64,data/backend_inputs/Biking_v_Biking_g02_c01/seed_42/rat_dp,
Biking_v_Biking_g03_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g03_c01.avi,380,RAT-DP,42,8.0,0.0001,222.1075507665,64,data/backend_inputs/Biking_v_Biking_g03_c01/seed_42/rat_dp,
Biking_v_Biking_g04_c01,Biking,data/ucf101_rescue/UCF-101/Biking/v_Biking_g04_c01.avi,240,RAT-DP,42,8.0,0.0001,176.5131826432,64,data/backend_inputs/Biking_v_Biking_g04_c01/seed_42/rat_dp,
Diving_v_Diving_g01_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g01_c01.avi,259,RAT-DP,42,8.0,0.0001,183.3670958821,64,data/backend_inputs/Diving_v_Diving_g01_c01/seed_42/rat_dp,
Diving_v_Diving_g02_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g02_c01.avi,134,RAT-DP,42,8.0,0.0001,131.8936612180,64,data/backend_inputs/Diving_v_Diving_g02_c01/seed_42/rat_dp,
Diving_v_Diving_g03_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g03_c01.avi,192,RAT-DP,42,8.0,0.0001,157.8781901261,64,data/backend_inputs/Diving_v_Diving_g03_c01/seed_42/rat_dp,
Diving_v_Diving_g04_c01,Diving,data/ucf101_rescue/UCF-101/Diving/v_Diving_g04_c01.avi,106,RAT-DP,42,8.0,0.0001,117.3071429085,64,data/backend_inputs/Diving_v_Diving_g04_c01/seed_42/rat_dp,
WalkingWithDog_v_WalkingWithDog_g01_c01,WalkingWithDog,data/ucf101_rescue/UCF-101/WalkingWithDog/v_WalkingWithDog_g01_c01.avi,240,RAT-DP,42,8.0,0.0001,176.5131826432,64,data/backend_inputs/WalkingWithDog_v_WalkingWithDog_g01_c01/seed_42/rat_dp,
WalkingWithDog_v_WalkingWithDog_g02_c01,WalkingWithDog,data/ucf101_rescue/UCF-101/WalkingWithDog/v_WalkingWithDog_g02_c01.avi,240,RAT-DP,42,8.0,0.0001,176.5131826432,64,data/backend_inputs/WalkingWithDog_v_WalkingWithDog_g02_c01/seed_42/rat_dp,
WalkingWithDog_v_WalkingWithDog_g03_c01,WalkingWithDog,data/ucf101_rescue/UCF-101/WalkingWithDog/v_WalkingWithDog_g03_c01.avi,240,RAT-DP,42,8.0,0.0001,176.5131826432,64,data/backend_inputs/WalkingWithDog_v_WalkingWithDog_g03_c01/seed_42/rat_dp,
WalkingWithDog_v_WalkingWithDog_g04_c01,WalkingWithDog,data/ucf101_rescue/UCF-101/WalkingWithDog/v_WalkingWithDog_g04_c01.avi,93,RAT-DP,42,8.0,0.0001,109.8785700815,64,data/backend_inputs/WalkingWithDog_v_WalkingWithDog_g04_c01/seed_42/rat_dp,
