video_id,class,variant,score_maps,score_sha256,frames,block_grid,seed,device,input_video,rat_output_dir,rat_sigma,delta,top_k
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,no_trajectory,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_no_trajectory.npy,8e7a1543b114b4713782a6a8146d9d8cedecf0b5c2d8d4719ddbe1a7d4e78c5b,125,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp,127.3874168932,0.0001,20
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,videomae_only,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g01_c01/score_maps_videomae_only.npy,c68621cdb238116d2dde16c3e7553e380edba406bfaa3caa5a2d7f7a49cb5557,125,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp,127.3874168932,0.0001,20
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,no_trajectory,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_no_trajectory.npy,21e1b2afb3284a5f4de51982d14249aa8e885071aa19631d9fbfa15470e88de0,82,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp,103.1759439631,0.0001,20
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,videomae_only,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g02_c01/score_maps_videomae_only.npy,c2744d4912b76b6792f670feeb8491b934c21f019141f62fdec8f3f4dc61a532,82,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp,103.1759439631,0.0001,20
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,no_trajectory,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g03_c01/score_maps_no_trajectory.npy,ab07284587db253d09bf56a0f238933baa7ca5e8cfd837f0775785021d18bf0c,197,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g03_c01/seed_42/rat_dp,159.9206837054,0.0001,20
BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,videomae_only,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g03_c01/score_maps_videomae_only.npy,10ead80b3f98969e5faa558131ca8334c0079c0cfa5a2b91b5d9f8ec775b34e7,197,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g03_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g03_c01/seed_42/rat_dp,159.9206837054,0.0001,20
BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,no_trajectory,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g10_c03/score_maps_no_trajectory.npy,f160de4f1034e2c543fd723190cb22b18dd9b1058a18237a147ee5563a5f9cf4,105,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g10_c03.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g10_c03/seed_42/rat_dp,116.7524960996,0.0001,20
BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,videomae_only,experiments_icassp4_ablation_scores_20260905/BalanceBeam_v_BalanceBeam_g10_c03/score_maps_videomae_only.npy,74a7613b8fcc70aae80a265f2186f0e4403b84b55db190a3ac003c8c45f43e64,105,14,42,cuda,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g10_c03.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g10_c03/seed_42/rat_dp,116.7524960996,0.0001,20
Basketball_v_Basketball_g01_c01,Basketball,no_trajectory,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g01_c01/score_maps_no_trajectory.npy,7e216edbcfe0e2a6982eaba5287ae737d32585fbdd943520280410d823c74ce9,141,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g01_c01.avi,data/backend_inputs/Basketball_v_Basketball_g01_c01/seed_42/rat_dp,135.2947925551,0.0001,20
Basketball_v_Basketball_g01_c01,Basketball,videomae_only,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g01_c01/score_maps_videomae_only.npy,5c4ed7379852e9a2fea0c2110ec648c46d723ad3afb98d0310ddfffd31241d1b,141,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g01_c01.avi,data/backend_inputs/Basketball_v_Basketball_g01_c01/seed_42/rat_dp,135.2947925551,0.0001,20
Basketball_v_Basketball_g02_c01,Basketball,no_trajectory,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g02_c01/score_maps_no_trajectory.npy,157bd13b87f2be097c19e460f4713486d090d519d898ae996f7a86c95f56dfff,53,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g02_c01.avi,data/backend_inputs/Basketball_v_Basketball_g02_c01/seed_42/rat_dp,82.9486762322,0.0001,20
Basketball_v_Basketball_g02_c01,Basketball,videomae_only,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g02_c01/score_maps_videomae_only.npy,da044ddabb7304034d4af1b19f23a754f74102c1b09c1d89897dac5cf1922a49,53,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g02_c01.avi,data/backend_inputs/Basketball_v_Basketball_g02_c01/seed_42/rat_dp,82.9486762322,0.0001,20
Basketball_v_Basketball_g03_c01,Basketball,no_trajectory,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g03_c01/score_maps_no_trajectory.npy,b13c6b9cc995a97a4451c5cd78e753e8eeffa81653b8053e46408ef13dc3fa69,138,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g03_c01.avi,data/backend_inputs/Basketball_v_Basketball_g03_c01/seed_42/rat_dp,133.8477478217,0.0001,20
Basketball_v_Basketball_g03_c01,Basketball,videomae_only,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g03_c01/score_maps_videomae_only.npy,8fe2f4ad1918a310b9d39162abbf08835a51bf2d5f3f45e097c64d0798e0c391,138,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g03_c01.avi,data/backend_inputs/Basketball_v_Basketball_g03_c01/seed_42/rat_dp,133.8477478217,0.0001,20
Basketball_v_Basketball_g04_c01,Basketball,no_trajectory,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g04_c01/score_maps_no_trajectory.npy,7c1ea7c3ebe243dea79ac35ee32742504ce9ed1d71bbf79f0186830f5b5f16b6,109,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g04_c01.avi,data/backend_inputs/Basketball_v_Basketball_g04_c01/seed_42/rat_dp,118.9555676416,0.0001,20
Basketball_v_Basketball_g04_c01,Basketball,videomae_only,experiments_icassp4_ablation_scores_20260905/Basketball_v_Basketball_g04_c01/score_maps_videomae_only.npy,d28111c3584ca7408b0d72e0244bc58f7e07f11296aea5cf19f033d98f1b7ab3,109,14,42,cuda,data/ucf101_rescue/UCF-101/Basketball/v_Basketball_g04_c01.avi,data/backend_inputs/Basketball_v_Basketball_g04_c01/seed_42/rat_dp,118.9555676416,0.0001,20
Biking_v_Biking_g01_c01,Biking,no_trajectory,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g01_c01/score_maps_no_trajectory.npy,6b0c648a9b12906b77c126ae181b927030da917d916701426fe6a00cbef6ac34,151,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g01_c01.avi,data/backend_inputs/Biking_v_Biking_g01_c01/seed_42/rat_dp,140.0103039463,0.0001,20
Biking_v_Biking_g01_c01,Biking,videomae_only,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g01_c01/score_maps_videomae_only.npy,b236be6d7b066dba8f478ad10b3e3905ed317335c853b57484f778ecac081ed1,151,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g01_c01.avi,data/backend_inputs/Biking_v_Biking_g01_c01/seed_42/rat_dp,140.0103039463,0.0001,20
Biking_v_Biking_g02_c01,Biking,no_trajectory,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g02_c01/score_maps_no_trajectory.npy,9cac6c09a1d00384d09ac7e5f9bdb1f95ee097fbd42159fd119513eb01a9be3a,240,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g02_c01.avi,data/backend_inputs/Biking_v_Biking_g02_c01/seed_42/rat_dp,176.5131826432,0.0001,20
Biking_v_Biking_g02_c01,Biking,videomae_only,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g02_c01/score_maps_videomae_only.npy,700b7e6e3a7b064755e2435bbe8135a5b7ad3daff3af71a19b33777e0f263b01,240,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g02_c01.avi,data/backend_inputs/Biking_v_Biking_g02_c01/seed_42/rat_dp,176.5131826432,0.0001,20
Biking_v_Biking_g03_c01,Biking,no_trajectory,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g03_c01/score_maps_no_trajectory.npy,a239b44039819a27500126a05f3e42ddeffd6cd619318fbf2ab718895e86a96d,379,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g03_c01.avi,data/backend_inputs/Biking_v_Biking_g03_c01/seed_42/rat_dp,222.1075507665,0.0001,20
Biking_v_Biking_g03_c01,Biking,videomae_only,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g03_c01/score_maps_videomae_only.npy,77d8c490cb94efa73b91ad359c6fe881ae8d76336e11517d3d8617c25b765bd3,379,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g03_c01.avi,data/backend_inputs/Biking_v_Biking_g03_c01/seed_42/rat_dp,222.1075507665,0.0001,20
Biking_v_Biking_g04_c01,Biking,no_trajectory,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g04_c01/score_maps_no_trajectory.npy,5b913e10b90f507c7dd5d038341d67ff7b255512212610e9bc93ba66d0dac968,240,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g04_c01.avi,data/backend_inputs/Biking_v_Biking_g04_c01/seed_42/rat_dp,176.5131826432,0.0001,20
Biking_v_Biking_g04_c01,Biking,videomae_only,experiments_icassp4_ablation_scores_20260905/Biking_v_Biking_g04_c01/score_maps_videomae_only.npy,700b7e6e3a7b064755e2435bbe8135a5b7ad3daff3af71a19b33777e0f263b01,240,14,42,cuda,data/ucf101_rescue/UCF-101/Biking/v_Biking_g04_c01.avi,data/backend_inputs/Biking_v_Biking_g04_c01/seed_42/rat_dp,176.5131826432,0.0001,20
