video_id,class,method,top_k,incremental_motion_distortion_share,incremental_motion_distortion_lift,incremental_motion_total_psnr,incremental_motion_high_psnr,incremental_motion_low_psnr
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-mask,20,0.206268,2.036201,15.208622,12.120416,15.748030
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-only-mask,20,0.491518,4.852074,15.257990,8.398716,17.731375
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random-mask,20,0.092130,0.909468,14.687027,15.099154,14.642933
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-mask,20,0.058006,0.572618,14.902043,17.323397,14.697709
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-no-trajectory-mask,20,0.208785,2.061042,15.249239,12.108371,15.802437
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion-mask,20,0.089631,0.884803,14.832627,15.364163,14.776597
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only-mask,20,0.004500,0.044421,13.438252,26.962390,12.993983
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-mask,20,0.381899,3.766435,14.321700,8.562395,15.946794
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-only-mask,20,0.847067,8.354096,14.605528,5.386533,22.296210
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random-mask,20,0.095967,0.946461,13.844559,14.083533,13.818401
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-mask,20,0.067482,0.665538,14.311286,16.079559,14.150402
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-no-trajectory-mask,20,0.399180,3.936864,14.401837,8.450332,16.150080
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion-mask,20,0.044989,0.443701,14.139077,17.668171,13.874680
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only-mask,20,0.000464,0.004577,13.372025,36.765892,12.909727
