video_id,class,method,seed,input_video,backend_input_video,backend_input_psnr,backend_resized_to_gt,score_origin,output_video,report,output_resized_to_gt,epsilon,delta,sigma,top_k,block_grid,global_frame_psnr,motion_area,motion_total_mse_psnr,motion_high_psnr,motion_low_psnr,motion_distortion_share,motion_distortion_lift,motion_high_low_mse_ratio,rat_region_area,rat_region_total_mse_psnr,rat_region_high_psnr,rat_region_low_psnr,rat_region_distortion_share,rat_region_distortion_lift,rat_region_high_low_mse_ratio,own_region_area,own_region_total_mse_psnr,own_region_high_psnr,own_region_low_psnr,own_region_distortion_share,own_region_distortion_lift,own_region_high_low_mse_ratio,motion_alignment_candidate_area,motion_alignment_reference_area,motion_alignment_reference_coverage,motion_alignment_candidate_precision,motion_alignment_iou,motion_alignment_coverage_lift,rat_alignment_candidate_area,rat_alignment_reference_area,rat_alignment_reference_coverage,rat_alignment_candidate_precision,rat_alignment_iou,rat_alignment_coverage_lift,motion_reference_coverage,motion_coverage_lift,rat_reference_coverage,rat_coverage_lift
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,private RAT-DP risk scores from the existing run,,,False,8.000000,0.000100,127.387417,20,14,15.071714,0.101301,14.974627,11.896575,15.511399,0.205787,2.031446,2.298701,0.100837,14.974627,5.268954,26.900618,0.942292,9.344741,145.601682,0.100837,14.974627,5.268954,26.900618,0.942292,9.344741,145.601682,0.100837,0.101301,0.211398,0.212370,0.118495,2.096438,0.100837,0.100837,1.000000,1.000000,1.000000,9.917038,0.211398,2.096438,1.000000,9.917038
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-only-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,backend frame-difference motion-only scores,,,False,8.000000,0.000100,127.387417,20,14,15.113349,0.101301,15.038647,8.315564,17.384325,0.476343,4.702278,8.070047,0.100837,15.038647,7.482387,18.287417,0.574439,5.696735,12.036578,0.101023,15.038647,5.328078,27.179937,0.945094,9.355282,153.174277,0.101023,0.101301,0.502509,0.503891,0.336183,4.974224,0.101023,0.100837,0.600425,0.599320,0.428441,5.943478,0.502509,4.974224,0.600425,5.943478
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,public seeded random scores independent of video content,,,False,8.000000,0.000100,127.387417,20,14,14.576311,0.101301,14.499406,14.676260,14.479915,0.097258,0.960096,0.955797,0.100837,14.499406,14.815637,14.465336,0.093755,0.929773,0.922507,0.102114,14.499406,4.823189,26.852943,0.947776,9.281574,159.578843,0.102114,0.101301,0.103680,0.102854,0.054444,1.015336,0.102114,0.100837,0.106440,0.105108,0.055838,1.042365,0.103680,1.015336,0.106440,1.042365
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,RAT scores shifted by a fixed public spatial offset,,,False,8.000000,0.000100,127.387417,20,14,14.805590,0.101301,14.711464,16.626643,14.540315,0.065177,0.643402,0.618539,0.100837,14.711464,21.147188,14.350510,0.022911,0.227210,0.209089,0.101504,14.711464,5.026771,26.761579,0.943959,9.299709,149.101112,0.101504,0.101301,0.061760,0.061636,0.031831,0.608451,0.101504,0.100837,0.019318,0.019191,0.009720,0.190313,0.061760,0.608451,0.019318,0.190313
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-no-trajectory-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,same RAT cue fusion without trajectory propagation,,,False,8.000000,0.000100,127.387417,20,14,15.105036,0.101301,15.012634,11.886717,15.561894,0.208067,2.053958,2.330868,0.100837,15.012634,7.190770,18.647806,0.610667,6.056006,13.986323,0.100737,15.012634,5.303887,26.919574,0.942031,9.351358,145.067044,0.100737,0.101301,0.210261,0.211437,0.117848,2.087222,0.100737,0.100837,0.638358,0.638986,0.469153,6.336849,0.210261,2.087222,0.638358,6.336849
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,RAT cue-fusion scores shifted by a fixed public spatial offset,,,False,8.000000,0.000100,127.387417,20,14,14.727884,0.101301,14.638561,14.919944,14.607957,0.094945,0.937264,0.930682,0.100837,14.638561,17.466147,14.411543,0.052585,0.521485,0.494925,0.101343,14.638561,4.943795,26.743233,0.944649,9.321301,151.336511,0.101343,0.101301,0.096740,0.096699,0.050817,0.954578,0.101343,0.100837,0.053756,0.053487,0.027549,0.530431,0.096740,0.954578,0.053756,0.530431
BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,31.254524,False,VideoMAE semantic-token salience only,,,False,8.000000,0.000100,127.387417,20,14,13.328348,0.101301,13.261516,22.647405,12.848635,0.011669,0.115189,0.104743,0.100837,13.261516,23.003803,12.846623,0.010700,0.106114,0.096445,0.100937,13.261516,3.490166,26.526515,0.957607,9.487132,201.203198,0.100937,0.101301,0.004021,0.004035,0.002018,0.039833,0.100937,0.100837,0.008008,0.008000,0.004018,0.079336,0.004021,0.039833,0.008008,0.079336
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,27.849856,False,private RAT-DP risk scores from the existing run,,,False,8.000000,0.000100,103.175944,20,14,14.087098,0.101395,14.041884,8.207564,15.713984,0.388553,3.832058,5.631732,0.101431,14.041884,4.312221,26.865803,0.953101,9.396504,180.035496,0.101431,14.041884,4.312221,26.865803,0.953101,9.396504,180.035496,0.101431,0.101395,0.409673,0.409528,0.257546,4.038915,0.101431,0.101431,1.000000,1.000000,1.000000,9.858870,0.409673,4.038915,1.000000,9.858870
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-only-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,27.849856,False,backend frame-difference motion-only scores,,,False,8.000000,0.000100,103.175944,20,14,14.332957,0.101395,14.307323,5.180495,21.520170,0.829280,8.178672,43.049441,0.101431,14.307323,8.658275,15.866409,0.372458,3.672018,5.257914,0.101335,14.307323,4.532275,28.067713,0.962194,9.495215,225.706323,0.101335,0.101395,0.852663,0.853174,0.743555,8.414325,0.101335,0.101431,0.387944,0.388315,0.240794,3.828347,0.852663,8.414325,0.387944,3.828347
BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random-mask,42,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g02_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g02_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,27.849856,False,public seeded random scores independent of video content,,,False,8.000000,0.000100,103.175944,20,14,13.687193,0.101395,13.653016,13.103667,13.719602,0.115068,1.134841,1.152374,0.101431,13.653016,13.038769,13.728142,0.116842,1.151926,1.172026,0.102053,13.653016,3.967320,26.134060,0.949284,9.301856,164.692568,0.102053,0.101395,0.109173,0.108469,0.057541,1.069763,0.102053,0.101431,0.116514,0.115804,0.061660,1.141696,0.109173,1.069763,0.116514,1.141696
