comparison,metric,direction,n,left_wins,right_wins,ties,mean_diff_left_minus_right,ci95_low,ci95_high,exact_sign_test_p
RAT-no-trajectory-mask vs Random-mask,motion_reference_coverage,higher,20,20,0,0,0.152005,0.111120,0.195839,0.000002
RAT-no-trajectory-mask vs Random-mask,motion_distortion_share,higher,20,20,0,0,0.135989,0.097657,0.176501,0.000002
RAT-no-trajectory-mask vs Shifted-RAT-fusion-mask,motion_reference_coverage,higher,20,20,0,0,0.171796,0.128564,0.218040,0.000002
RAT-no-trajectory-mask vs Shifted-RAT-fusion-mask,motion_distortion_share,higher,20,20,0,0,0.152175,0.112165,0.193506,0.000002
RAT-no-trajectory-mask vs Motion-only-mask,motion_reference_coverage,higher,20,0,20,0,-0.476563,-0.522875,-0.428003,0.000002
RAT-no-trajectory-mask vs Motion-only-mask,motion_distortion_share,higher,20,0,20,0,-0.431836,-0.475460,-0.388656,0.000002
RAT-no-trajectory-mask vs VideoMAE-only-mask,motion_reference_coverage,higher,20,17,3,0,0.185288,0.114453,0.254344,0.002577
RAT-no-trajectory-mask vs VideoMAE-only-mask,motion_distortion_share,higher,20,18,2,0,0.167814,0.103053,0.227542,0.000402
RAT-mask vs RAT-no-trajectory-mask,motion_reference_coverage,higher,20,10,10,0,-0.003870,-0.020082,0.011095,1.000000
RAT-mask vs RAT-no-trajectory-mask,motion_distortion_share,higher,20,9,11,0,-0.003429,-0.018104,0.010695,0.823803
RAT-mask vs Random-mask,motion_reference_coverage,higher,20,19,1,0,0.148135,0.104104,0.192681,0.000040
RAT-mask vs Random-mask,motion_distortion_share,higher,20,18,2,0,0.132560,0.090467,0.175112,0.000402
RAT-mask vs Shifted-RAT-mask,motion_reference_coverage,higher,20,20,0,0,0.171331,0.126221,0.217929,0.000002
RAT-mask vs Shifted-RAT-mask,motion_distortion_share,higher,20,20,0,0,0.151205,0.110295,0.193643,0.000002
RAT-mask vs Motion-only-mask,motion_reference_coverage,higher,20,0,20,0,-0.480433,-0.526350,-0.432441,0.000002
RAT-mask vs Motion-only-mask,motion_distortion_share,higher,20,0,20,0,-0.435266,-0.478134,-0.392109,0.000002
Motion-only-mask vs Random-mask,motion_reference_coverage,higher,20,20,0,0,0.628568,0.579858,0.671363,0.000002
Motion-only-mask vs Random-mask,motion_distortion_share,higher,20,20,0,0,0.567826,0.519861,0.611425,0.000002
Motion-only-mask vs Shifted-RAT-mask,motion_reference_coverage,higher,20,20,0,0,0.651764,0.605427,0.696028,0.000002
Motion-only-mask vs Shifted-RAT-mask,motion_distortion_share,higher,20,20,0,0,0.586471,0.539583,0.631604,0.000002
