seed,policy,n,cover_mean,cover_std,raw_errshare_mean,raw_errshare_std,inc_errshare_mean,inc_errshare_std
0,Motion-reference,20,0.731555,0.103249,0.673419,0.106733,0.722501,0.107583
0,RAT+traj,20,0.248325,0.095093,0.235908,0.090641,0.240110,0.092367
0,RAT-fusion,20,0.254993,0.094411,0.241484,0.090423,0.246335,0.091451
0,Random,20,0.102556,0.005136,0.104253,0.008461,0.096112,0.008964
0,Shifted-RAT+traj,20,0.078486,0.030849,0.085687,0.032234,0.076835,0.032254
0,Shifted-RAT-fusion,20,0.083197,0.029295,0.088506,0.030757,0.080112,0.031537
0,VideoMAE-only,20,0.069704,0.088111,0.072622,0.072654,0.065024,0.081648
1,Motion-reference,20,0.731555,0.103249,0.673537,0.104960,0.722979,0.105830
1,RAT+traj,20,0.247564,0.100256,0.234686,0.094571,0.238580,0.096730
1,RAT-fusion,20,0.254993,0.094411,0.242595,0.090788,0.247104,0.091175
1,Random,20,0.102615,0.005122,0.104792,0.010477,0.096371,0.009687
1,Shifted-RAT+traj,20,0.080064,0.031346,0.086530,0.031981,0.077792,0.032226
1,Shifted-RAT-fusion,20,0.083197,0.029295,0.088287,0.030366,0.079983,0.031147
1,VideoMAE-only,20,0.069704,0.088111,0.072659,0.072393,0.065163,0.081390
2,Motion-reference,20,0.731555,0.103249,0.672603,0.103845,0.720831,0.104429
2,RAT+traj,20,0.248534,0.098699,0.234712,0.093363,0.238869,0.095147
2,RAT-fusion,20,0.254993,0.094411,0.240725,0.090199,0.245352,0.090451
2,Random,20,0.103353,0.005086,0.105014,0.010610,0.097304,0.010986
2,Shifted-RAT+traj,20,0.076961,0.031739,0.083256,0.031673,0.074615,0.031424
2,Shifted-RAT-fusion,20,0.083197,0.029295,0.088031,0.030434,0.079892,0.030761
2,VideoMAE-only,20,0.069704,0.088111,0.072579,0.072857,0.065332,0.082013
3,Motion-reference,20,0.731555,0.103249,0.672430,0.104642,0.721203,0.105391
3,RAT+traj,20,0.247749,0.093259,0.235237,0.089018,0.239175,0.090031
3,RAT-fusion,20,0.254993,0.094411,0.240745,0.090298,0.245098,0.090722
3,Random,20,0.102164,0.003047,0.103983,0.009287,0.095831,0.008906
3,Shifted-RAT+traj,20,0.079876,0.032544,0.086833,0.032370,0.078211,0.032690
3,Shifted-RAT-fusion,20,0.083197,0.029295,0.088867,0.030721,0.080539,0.031587
3,VideoMAE-only,20,0.069704,0.088111,0.073032,0.073000,0.065515,0.082183
4,Motion-reference,20,0.731555,0.103249,0.673299,0.105978,0.723104,0.107144
4,RAT+traj,20,0.246851,0.096619,0.233847,0.091515,0.237540,0.093638
4,RAT-fusion,20,0.254993,0.094411,0.241992,0.091025,0.246841,0.092073
4,Random,20,0.102183,0.005260,0.103186,0.009923,0.095177,0.007186
4,Shifted-RAT+traj,20,0.080583,0.031727,0.086739,0.032680,0.077809,0.032574
4,Shifted-RAT-fusion,20,0.083197,0.029295,0.088486,0.030530,0.079987,0.031557
4,VideoMAE-only,20,0.069704,0.088111,0.072508,0.072737,0.064788,0.081549
42,Motion-reference,20,0.731555,0.103249,0.672667,0.105269,0.722278,0.106308
42,RAT+traj,20,0.251123,0.101332,0.237398,0.096674,0.241505,0.098524
42,RAT-fusion,20,0.254993,0.094411,0.240832,0.089667,0.245184,0.090207
42,Random,20,0.102987,0.006878,0.104840,0.009891,0.096624,0.009767
42,Shifted-RAT+traj,20,0.079792,0.030798,0.086196,0.032040,0.077443,0.031822
42,Shifted-RAT-fusion,20,0.083197,0.029295,0.088655,0.029651,0.080321,0.030322
42,VideoMAE-only,20,0.069704,0.088111,0.073016,0.073311,0.065408,0.082234
5,Motion-reference,20,0.731555,0.103249,0.672994,0.105772,0.722211,0.106568
5,RAT+traj,20,0.247662,0.097893,0.235176,0.093231,0.239360,0.094530
5,RAT-fusion,20,0.254993,0.094411,0.242167,0.091000,0.247078,0.091678
5,Random,20,0.101723,0.004283,0.103724,0.008444,0.095263,0.007289
5,Shifted-RAT+traj,20,0.081939,0.031779,0.088744,0.032521,0.080755,0.032942
5,Shifted-RAT-fusion,20,0.083197,0.029295,0.088159,0.030069,0.080174,0.030589
5,VideoMAE-only,20,0.069704,0.088111,0.072719,0.072811,0.065558,0.082021
6,Motion-reference,20,0.731555,0.103249,0.671833,0.106769,0.720625,0.108071
6,RAT+traj,20,0.245770,0.098588,0.233190,0.093973,0.237239,0.095796
6,RAT-fusion,20,0.254993,0.094411,0.242189,0.092645,0.246949,0.093305
6,Random,20,0.101857,0.003368,0.103455,0.009839,0.094750,0.008843
6,Shifted-RAT+traj,20,0.083875,0.032495,0.090112,0.033358,0.081965,0.033249
6,Shifted-RAT-fusion,20,0.083197,0.029295,0.088788,0.030956,0.080741,0.031752
6,VideoMAE-only,20,0.069704,0.088111,0.072874,0.073168,0.065423,0.082139
7,Motion-reference,20,0.731555,0.103249,0.672638,0.105682,0.722567,0.106838
7,RAT+traj,20,0.249169,0.100051,0.237379,0.095383,0.241666,0.097554
7,RAT-fusion,20,0.254993,0.094411,0.241414,0.090447,0.245878,0.091142
7,Random,20,0.100966,0.007248,0.103111,0.011458,0.094637,0.009988
