experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,0,20,,,127.387416893,8.000000000,0.000100000,0.193986540,0.188099462,0.188085886,14.993978915,15.141298109
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,0,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.476129820,0.492210263,15.129029027,15.284777378
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,0,20,,,127.387416893,8.000000000,0.000100000,0.103207762,0.094350950,0.088806998,14.559964183,14.698660764
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,0,20,3,4,127.387416893,8.000000000,0.000100000,0.068001049,0.071000045,0.064500835,14.700820606,14.821830633
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,0,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.207451573,0.208509061,15.006864318,15.165378086
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,0,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.092738819,0.087423097,14.647505719,14.771991523
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,0,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011516732,0.004493182,13.245746015,13.384809018
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,1,20,,,127.387416893,8.000000000,0.000100000,0.204649943,0.203284276,0.203521242,14.999944448,15.151029940
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,1,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.479184195,0.495030459,15.130456555,15.290490511
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,1,20,,,127.387416893,8.000000000,0.000100000,0.102543484,0.092255865,0.087241401,14.575420333,14.714202791
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,1,20,3,4,127.387416893,8.000000000,0.000100000,0.061935146,0.065916242,0.059153904,14.757346739,14.879913939
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,1,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.207164327,0.207755405,15.014104986,15.174064659
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,1,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.090503654,0.084837025,14.685191400,14.812225409
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,1,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.010816640,0.003686276,13.298010930,13.438066320
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,2,20,,,127.387416893,8.000000000,0.000100000,0.197605104,0.191575598,0.191428024,14.991131810,15.135024776
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,2,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.482136825,0.497146448,15.140433838,15.294844018
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,2,20,,,127.387416893,8.000000000,0.000100000,0.104046849,0.092092765,0.087359490,14.504587419,14.637314997
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,2,20,3,4,127.387416893,8.000000000,0.000100000,0.075238178,0.075000631,0.068725173,14.730417479,14.847675828
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,2,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.205435711,0.205556209,14.973182720,15.126447141
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,2,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.089975897,0.084527371,14.629419588,14.750125078
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,2,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011176317,0.004125189,13.260118312,13.395420340
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,3,20,,,127.387416893,8.000000000,0.000100000,0.221361769,0.218339201,0.220251487,15.007506240,15.157894777
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,3,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.479500874,0.495521852,15.120307936,15.277132520
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,3,20,,,127.387416893,8.000000000,0.000100000,0.104798532,0.101305397,0.097170989,14.542974956,14.678216522
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,3,20,3,4,127.387416893,8.000000000,0.000100000,0.065833406,0.067862448,0.061431829,14.753962968,14.875606602
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,3,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.204959246,0.205389347,15.021094144,15.179882604
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,3,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.092377193,0.086679768,14.677729677,14.802886663
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,3,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.012215807,0.005157785,13.288548835,13.427879802
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,4,20,,,127.387416893,8.000000000,0.000100000,0.191836378,0.188699442,0.188577845,14.968355648,15.114843890
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,4,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.478826664,0.494580487,15.111257844,15.273222575
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,4,20,,,127.387416893,8.000000000,0.000100000,0.099956298,0.089619633,0.084015567,14.510970587,14.651978013
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,4,20,3,4,127.387416893,8.000000000,0.000100000,0.067109518,0.068274200,0.061744801,14.727717242,14.850943600
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,4,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.207964288,0.208410328,15.008539127,15.168475701
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,4,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.091855592,0.086489022,14.636273988,14.761436464
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,4,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.010675847,0.003623615,13.240251687,13.382189478
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,5,20,,,127.387416893,8.000000000,0.000100000,0.209369810,0.209312039,0.210122061,14.927970031,15.072084073
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,5,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.475650684,0.489904072,15.088356037,15.244436689
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,5,20,,,127.387416893,8.000000000,0.000100000,0.098540337,0.090735764,0.086254287,14.519797322,14.654587472
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,5,20,3,4,127.387416893,8.000000000,0.000100000,0.063875535,0.067988660,0.061457361,14.701318394,14.819857445
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,5,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.210824528,0.211380992,15.012146825,15.168839454
