video_id,policy,n_seeds,cover_mean,cover_std,cover_min,cover_max,raw_errshare_mean,raw_errshare_std,raw_errshare_min,raw_errshare_max,inc_errshare_mean,inc_errshare_std,inc_errshare_min,inc_errshare_max
BalanceBeam_v_BalanceBeam_g01_c01,Motion-reference,10,0.502509,0.000000,0.502509,0.502509,0.477513,0.003192,0.469667,0.482137,0.492869,0.003595,0.483908,0.497146
BalanceBeam_v_BalanceBeam_g01_c01,RAT+traj,10,0.202622,0.009700,0.187466,0.221362,0.199552,0.010373,0.184741,0.218339,0.199916,0.011026,0.183998,0.220251
BalanceBeam_v_BalanceBeam_g01_c01,RAT-fusion,10,0.210261,0.000000,0.210261,0.210261,0.208019,0.002094,0.204959,0.212364,0.208725,0.002334,0.205389,0.213727
BalanceBeam_v_BalanceBeam_g01_c01,Random,10,0.102066,0.003325,0.095149,0.107508,0.094050,0.004424,0.088433,0.101880,0.089027,0.004592,0.083381,0.097171
BalanceBeam_v_BalanceBeam_g01_c01,Shifted-RAT+traj,10,0.069169,0.006225,0.061760,0.080290,0.071271,0.004980,0.065177,0.080256,0.064721,0.005175,0.058006,0.074216
BalanceBeam_v_BalanceBeam_g01_c01,Shifted-RAT-fusion,10,0.096740,0.000000,0.096740,0.096740,0.091782,0.001515,0.089245,0.094945,0.086333,0.001608,0.083580,0.089631
BalanceBeam_v_BalanceBeam_g01_c01,VideoMAE-only,10,0.004021,0.000000,0.004021,0.004021,0.011425,0.000567,0.010676,0.012479,0.004328,0.000551,0.003624,0.005314
BalanceBeam_v_BalanceBeam_g02_c01,Motion-reference,10,0.852663,0.000000,0.852663,0.852663,0.828977,0.003793,0.823780,0.836372,0.846926,0.004676,0.840002,0.855340
BalanceBeam_v_BalanceBeam_g02_c01,RAT+traj,10,0.396700,0.008241,0.381906,0.409700,0.368094,0.009749,0.356216,0.388553,0.360314,0.010345,0.347927,0.381899
BalanceBeam_v_BalanceBeam_g02_c01,RAT-fusion,10,0.429827,0.000000,0.429827,0.429827,0.403822,0.003062,0.398945,0.410396,0.397766,0.003348,0.393445,0.405145
BalanceBeam_v_BalanceBeam_g02_c01,Random,10,0.105150,0.005468,0.097448,0.115385,0.107993,0.005294,0.100524,0.116605,0.088574,0.005310,0.081202,0.096534
BalanceBeam_v_BalanceBeam_g02_c01,Shifted-RAT+traj,10,0.079621,0.006089,0.071616,0.088761,0.094161,0.004457,0.086919,0.100420,0.072266,0.004821,0.064604,0.079261
BalanceBeam_v_BalanceBeam_g02_c01,Shifted-RAT-fusion,10,0.054497,0.000000,0.054497,0.054497,0.069717,0.001693,0.067390,0.072588,0.047581,0.001821,0.044989,0.050708
BalanceBeam_v_BalanceBeam_g02_c01,VideoMAE-only,10,0.000000,0.000000,0.000000,0.000000,0.020757,0.000161,0.020523,0.020998,0.000466,0.000004,0.000460,0.000474
BalanceBeam_v_BalanceBeam_g03_c01,Motion-reference,10,0.726794,0.000000,0.726794,0.726794,0.697976,0.002176,0.694081,0.701214,0.711521,0.002279,0.707597,0.714951
BalanceBeam_v_BalanceBeam_g03_c01,RAT+traj,10,0.442695,0.003588,0.435959,0.448667,0.424504,0.004390,0.414785,0.431024,0.424753,0.004468,0.414973,0.431485
BalanceBeam_v_BalanceBeam_g03_c01,RAT-fusion,10,0.441153,0.000000,0.441153,0.441153,0.423510,0.002943,0.417155,0.427345,0.423712,0.003122,0.416948,0.427939
BalanceBeam_v_BalanceBeam_g03_c01,Random,10,0.101993,0.004263,0.097097,0.111128,0.097983,0.003700,0.090898,0.103743,0.085416,0.003864,0.078416,0.091709
BalanceBeam_v_BalanceBeam_g03_c01,Shifted-RAT+traj,10,0.062141,0.003619,0.057705,0.070614,0.067258,0.003218,0.063475,0.074247,0.052917,0.003204,0.049028,0.060050
BalanceBeam_v_BalanceBeam_g03_c01,Shifted-RAT-fusion,10,0.067040,0.000000,0.067040,0.067040,0.071829,0.001209,0.069341,0.073228,0.057683,0.001167,0.055102,0.059043
BalanceBeam_v_BalanceBeam_g03_c01,VideoMAE-only,10,0.000000,0.000000,0.000000,0.000000,0.012767,0.000127,0.012605,0.012955,0.000459,0.000005,0.000453,0.000466
