experiment,video_id,class,policy,seed,top_k,sigma,input_video,backend_input_video,score_maps,output_video,report
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,0,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,1,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E1,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,2,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
