seed,comparison,metric,paired_videos,left_wins,right_wins,ties,mean_diff,ci95_low,ci95_high
0,RAT-fusion vs Random,cover,20,20,0,0,0.152437,0.113256,0.194926
0,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.137230,0.099959,0.177873
0,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.150223,0.110263,0.192739
0,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.127966,0.217651
0,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,19,1,0,0.152977,0.113216,0.196003
0,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.166223,0.122517,0.211895
0,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114812,0.253093
0,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.168862,0.105152,0.230142
0,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.181311,0.113483,0.245175
0,RAT-fusion vs RAT+traj,cover,20,11,9,0,0.006667,-0.008626,0.023036
0,RAT-fusion vs RAT+traj,raw_errshare,20,11,9,0,0.005575,-0.008500,0.020874
0,RAT-fusion vs RAT+traj,inc_errshare,20,11,9,0,0.006225,-0.009027,0.022934
1,RAT-fusion vs Random,cover,20,20,0,0,0.152378,0.111556,0.194194
1,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.137804,0.100970,0.178281
1,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.150733,0.110517,0.193598
1,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.127090,0.217164
1,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.154309,0.114573,0.196729
1,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.167120,0.123946,0.210999
1,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.111880,0.254262
1,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.169936,0.107458,0.230126
1,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.181941,0.115838,0.245835
1,RAT-fusion vs RAT+traj,cover,20,12,8,0,0.007429,-0.008839,0.024423
1,RAT-fusion vs RAT+traj,raw_errshare,20,12,8,0,0.007910,-0.007246,0.023426
1,RAT-fusion vs RAT+traj,inc_errshare,20,12,8,0,0.008524,-0.008130,0.025782
2,RAT-fusion vs Random,cover,20,20,0,0,0.151639,0.111440,0.194075
2,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.135710,0.097551,0.175816
2,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.148048,0.108895,0.189100
2,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.127547,0.217724
2,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.152694,0.112170,0.194219
2,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.165461,0.123882,0.209121
2,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114413,0.252472
2,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.168145,0.104300,0.228389
2,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.180020,0.112939,0.244026
2,RAT-fusion vs RAT+traj,cover,20,12,8,0,0.006459,-0.009156,0.022320
2,RAT-fusion vs RAT+traj,raw_errshare,20,12,8,0,0.006012,-0.008118,0.020598
2,RAT-fusion vs RAT+traj,inc_errshare,20,12,8,0,0.006484,-0.008681,0.022548
3,RAT-fusion vs Random,cover,20,20,0,0,0.152829,0.111978,0.196251
3,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.136762,0.097710,0.177588
3,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.149266,0.109501,0.191212
3,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.128090,0.216517
3,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,19,1,0,0.151878,0.111661,0.194411
3,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,19,1,0,0.164559,0.121975,0.208816
3,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.114494,0.253771
3,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.167713,0.105135,0.229025
3,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.179583,0.112410,0.244867
3,RAT-fusion vs RAT+traj,cover,20,10,10,0,0.007244,-0.005537,0.020297
3,RAT-fusion vs RAT+traj,raw_errshare,20,10,10,0,0.005508,-0.006608,0.018472
3,RAT-fusion vs RAT+traj,inc_errshare,20,10,10,0,0.005923,-0.007321,0.019524
4,RAT-fusion vs Random,cover,20,20,0,0,0.152809,0.114124,0.194361
4,RAT-fusion vs Random,raw_errshare,20,20,0,0,0.138806,0.101885,0.178541
4,RAT-fusion vs Random,inc_errshare,20,20,0,0,0.151664,0.112366,0.192678
4,RAT-fusion vs Shifted-RAT-fusion,cover,20,20,0,0,0.171796,0.129363,0.218185
4,RAT-fusion vs Shifted-RAT-fusion,raw_errshare,20,20,0,0,0.153506,0.112871,0.197192
4,RAT-fusion vs Shifted-RAT-fusion,inc_errshare,20,20,0,0,0.166855,0.123684,0.212104
4,RAT-fusion vs VideoMAE-only,cover,20,17,3,0,0.185288,0.113291,0.251849
4,RAT-fusion vs VideoMAE-only,raw_errshare,20,18,2,0,0.169484,0.105468,0.230260
4,RAT-fusion vs VideoMAE-only,inc_errshare,20,18,2,0,0.182053,0.115220,0.244544
4,RAT-fusion vs RAT+traj,cover,20,13,7,0,0.008141,-0.006374,0.023278
