top_k,policy,n,cover_mean,cover_std,raw_errshare_mean,raw_errshare_std,inc_errshare_mean,inc_errshare_std
10,Motion-reference,20,0.708078,0.078020,0.591371,0.086305,0.692648,0.078487
10,RAT+traj,20,0.160644,0.111320,0.148964,0.097640,0.156002,0.105275
10,RAT-fusion,20,0.168990,0.107231,0.153968,0.094894,0.162528,0.102052
10,Random,20,0.051475,0.005672,0.057194,0.008518,0.048043,0.007689
10,Shifted-RAT+traj,20,0.032913,0.022929,0.044173,0.020379,0.032640,0.022563
10,Shifted-RAT-fusion,20,0.036305,0.022428,0.045500,0.018909,0.034908,0.022280
10,VideoMAE-only,20,0.033953,0.056725,0.041919,0.043102,0.032624,0.053090
20,Motion-reference,20,0.731555,0.103249,0.672667,0.105269,0.722278,0.106308
20,RAT+traj,20,0.251123,0.101332,0.237398,0.096674,0.241505,0.098524
20,RAT-fusion,20,0.254993,0.094411,0.240832,0.089667,0.245184,0.090207
20,Random,20,0.102987,0.006878,0.104840,0.009891,0.096624,0.009767
20,Shifted-RAT+traj,20,0.079792,0.030798,0.086196,0.032040,0.077443,0.031822
20,Shifted-RAT-fusion,20,0.083197,0.029295,0.088655,0.029651,0.080321,0.030322
20,VideoMAE-only,20,0.069704,0.088111,0.073016,0.073311,0.065408,0.082234
30,Motion-reference,20,0.746899,0.118147,0.709443,0.121121,0.738749,0.123391
30,RAT+traj,20,0.321659,0.087437,0.307437,0.084478,0.309591,0.084219
30,RAT-fusion,20,0.322951,0.078040,0.310314,0.078324,0.312284,0.076220
30,Random,20,0.152171,0.006972,0.150423,0.012306,0.142880,0.012373
30,Shifted-RAT+traj,20,0.132013,0.038138,0.134133,0.037447,0.126712,0.037091
30,Shifted-RAT-fusion,20,0.131667,0.035039,0.133768,0.037015,0.126332,0.037418
30,VideoMAE-only,20,0.109152,0.107456,0.109782,0.095215,0.102878,0.102770
40,Motion-reference,20,0.764857,0.124857,0.739019,0.125881,0.757716,0.127416
40,RAT+traj,20,0.386326,0.082333,0.371844,0.081430,0.372767,0.079917
40,RAT-fusion,20,0.382790,0.073565,0.371539,0.074779,0.372191,0.071905
40,Random,20,0.201684,0.005853,0.196681,0.015795,0.190127,0.015866
40,Shifted-RAT+traj,20,0.184920,0.047766,0.182857,0.043001,0.176431,0.043662
40,Shifted-RAT-fusion,20,0.183431,0.042550,0.181576,0.040470,0.175184,0.041168
40,VideoMAE-only,20,0.163407,0.121168,0.158543,0.110213,0.152718,0.116856
