experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,42,10,,,90.076506323,8.000000000,0.000100000,0.067894332,0.074396684,0.070419104,18.003498232,18.317605078
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,42,10,,,90.076506323,8.000000000,0.000100000,0.605178559,0.540002046,0.590726811,18.055760778,18.387929600
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,42,10,,,90.076506323,8.000000000,0.000100000,0.051226501,0.049723315,0.043564461,17.451727923,17.741507615
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,10,3,4,90.076506323,8.000000000,0.000100000,0.012859040,0.024066254,0.014550826,17.791013925,18.063945401
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,42,10,,,90.076506323,8.000000000,0.000100000,0.077922986,0.073028973,0.068205961,17.931916752,18.247611799
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,10,3,4,90.076506323,8.000000000,0.000100000,0.020791110,0.028932223,0.020559621,17.531231506,17.800867405
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,42,10,,,90.076506323,8.000000000,0.000100000,0.000000000,0.008444820,0.000459356,16.201246279,16.451830523
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,42,20,,,127.387416893,8.000000000,0.000100000,0.211397605,0.205786501,0.206268212,15.071714421,15.232714973
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,42,20,,,127.387416893,8.000000000,0.000100000,0.502508522,0.476343227,0.491517610,15.113349409,15.277378399
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,42,20,,,127.387416893,8.000000000,0.000100000,0.103679748,0.097258207,0.092129548,14.576311040,14.718357708
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,127.387416893,8.000000000,0.000100000,0.061760336,0.065176914,0.058006452,14.805589567,14.930917555
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,42,20,,,127.387416893,8.000000000,0.000100000,0.210261341,0.208067055,0.208784598,15.105036048,15.269058381
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,127.387416893,8.000000000,0.000100000,0.096739795,0.094945287,0.089630958,14.727883814,14.856918678
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,42,20,,,127.387416893,8.000000000,0.000100000,0.004020628,0.011668706,0.004499848,13.328347847,13.470649983
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,42,30,,,156.017085520,8.000000000,0.000100000,0.335674528,0.335642061,0.338401864,13.370705628,13.472814462
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,motion_reference,42,30,,,156.017085520,8.000000000,0.000100000,0.518487897,0.498724829,0.507019920,13.411801088,13.512413539
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,random,42,30,,,156.017085520,8.000000000,0.000100000,0.150437012,0.135652281,0.131264760,12.818070579,12.905481778
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,30,3,4,156.017085520,8.000000000,0.000100000,0.134924797,0.130593751,0.125691994,13.094192476,13.168269451
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,rat_fusion,42,30,,,156.017085520,8.000000000,0.000100000,0.333774835,0.332998071,0.335846764,13.386526839,13.497263522
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,30,3,4,156.017085520,8.000000000,0.000100000,0.157406436,0.154069119,0.150486346,13.006402844,13.088573933
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,videomae_only,42,30,,,156.017085520,8.000000000,0.000100000,0.015372360,0.019364734,0.012790831,11.788520435,11.886991686
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,rat_traj,42,40,,,180.153012646,8.000000000,0.000100000,0.427168845,0.425985440,0.428224112,12.157384689,12.223670899
