experiment,video_id,class,policy,seed,top_k,sigma,input_video,backend_input_video,score_maps,output_video,report
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,42,10,90.076506323,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Motion-reference,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Random,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT+traj,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT-fusion,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,Shifted-RAT-fusion,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,VideoMAE-only,42,20,127.387416893,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
E2,BalanceBeam_v_BalanceBeam_g01_c01,BalanceBeam,RAT+traj,42,30,156.017085520,data/ucf101_rescue/UCF-101/BalanceBeam/v_BalanceBeam_g01_c01.avi,data/backend_inputs/BalanceBeam_v_BalanceBeam_g01_c01/seed_42/rat_dp/rat_intermediate_merged.mp4,,,
